Country;Indicator
American Samoa;100
Kiribati;100
Fiji;100
Cook Islands;100
Federated States of Micronesia;100
Guam;100
Coral Sea Islands;100
Ashmore and Cartier Islands;100
Australia;100
Marshall Islands;100
Niue;100
Northern Mariana Islands;100
New Caledonia;100
Nauru;100
Palau;100
Pitcairn Islands;100
Norfolk Island;100
French Polynesia;100
New Zealand;100
Papua New Guinea;100
Solomon Islands;100
Tonga;100
Tuvalu;100
Vanuatu;100
Wallis and Futuna;100
Samoa;100
Albania;100
Aland;100
Andorra;100
Austria;100
Belgium;100
Bulgaria;100
Bosnia and Herzegovina;100
Belarus;100
Switzerland;100
Czech Republic;100
Denmark;100
Germany;100
Estonia;100
Spain;100
Faroe Islands;100
Guernsey;100
Finland;1000
Gibraltar;100
France;100
United Kingdom;100
Croatia;100
Hungary;100
Greece;100
Isle of Man;100
Kosovo;100
Ireland;100
Jersey;100
Liechtenstein;100
Iceland;100
Italy;100
Luxembourg;100
Lithuania;100
Latvia;100
Monaco;100
Moldova;100
Malta;100
Macedonia;100
Montenegro;100
Netherlands;100
Poland;100
Portugal;100
Romania;100
Russia;100
San Marino;100
Republic of Serbia;100
Slovakia;100
Slovenia;100
Vatican;100
Ukraine;100
Angola;100
Sweden;100
Burundi;100
Benin;100
Burkina Faso;100
Norway;100
Botswana;100
Central African Republic;100
Ivory Coast;100
Cameroon;100
Comoros;100
Djibouti;100
Republic of Congo;100
Democratic Republic of the Congo;100
Cape Verde;100
Algeria;100
Eritrea;100
Ethiopia;100
Egypt;100
Gabon;100
Ghana;100
Gambia;100
Guinea Bissau;100
Equatorial Guinea;100
Kenya;100
Liberia;100
Guinea;100
Libya;100
Lesotho;100
Morocco;100
Madagascar;100
Mali;100
Mauritania;100
Namibia;100
Malawi;100
Mozambique;100
Niger;100
Nigeria;100
Rwanda;100
Western Sahara;100
Sudan;100
South Sudan;100
Senegal;100
Sierra Leone;100
Swaziland;100
Somaliland;100
Togo;100
Somalia;100
Sao Tome and Principe;100
Chad;100
Tunisia;100
Zambia;100
Zimbabwe;100
Afghanistan;100
Uganda;100
Armenia;100
United Arab Emirates;100
United Republic of Tanzania;100
Azerbaijan;100
South Africa;100
Brunei;100
Bahrain;100
Bhutan;100
Dhekelia Sovereign Base Area;100
Cyprus No Mans Area;100
Cyprus;100
Northern Cyprus;100
Georgia;100
Bangladesh;100
China;100
Hong Kong S.A.R.;100
Indonesia;100
Indian Ocean Territories;100
India;100
Israel;100
Jordan;100
Iraq;100
Iran;100
Siachen Glacier;100
Baykonur Cosmodrome;100
Japan;100
Kazakhstan;100
Kyrgyzstan;100
Kuwait;100
Macao S.A.R;100
Cambodia;100
Lebanon;100
Sri Lanka;100
Laos;100
South Korea;100
Mongolia;100
Myanmar;100
Malaysia;100
Nepal;100
Spratly Islands;100
Oman;100
Pakistan;100
North Korea;100
Philippines;100
Palestine;100
Qatar;100
Saudi Arabia;100
Scarborough Reef;100
Singapore;100
Syria;100
Thailand;100
Tajikistan;100
Turkmenistan;100
East Timor;100
Taiwan;100
Turkey;100
Uzbekistan;100
Vietnam;100
Akrotiri Sovereign Base Area;100
Argentina;100
Bolivia;100
Brazil;100
Chile;100
Yemen;100
Falkland Islands;100
Colombia;100
Guyana;100
Peru;100
Ecuador;100
Paraguay;100
Suriname;100
Uruguay;100
Aruba;100
Antigua and Barbuda;100
The Bahamas;100
Anguilla;100
Venezuela;100
Saint Barthelemy;100
Bajo Nuevo Bank (Petrel Is.);100
Belize;100
Bermuda;100
Costa Rica;100
Barbados;100
Curaçao;100
Cayman Islands;100
Dominica;100
Dominican Republic;100
Cuba;100
Canada;100
Grenada;100
Honduras;100
Guatemala;100
Haiti;100
Jamaica;100
Saint Kitts and Nevis;100
Saint Martin;100
Saint Lucia;100
Greenland;100
Nicaragua;100
Panama;100
Mexico;100
Puerto Rico;100
Serranilla Bank;100
Montserrat;100
El Salvador;100
Sint Maarten;100
Saint Pierre and Miquelon;100
Turks and Caicos Islands;100
Trinidad and Tobago;100
United States Minor Outlying Islands;100
Saint Vincent and the Grenadines;100
US Naval Base Guantanamo Bay;100
British Virgin Islands;100
United States Virgin Islands;100
United States of America;100
