Zip;Income
00100;27577
00120;27523
00130;30479
00140;29439
00150;26546
00160;28098
00170;28489
00180;26037
00190;25728
00200;27378
00210;30678
00220;23589
00230;0
00240;23045
00250;25958
00260;27031
00270;24383
00280;23438
00290;29092
00300;24187
00310;24419
00320;24401
00330;27900
00340;33289
00350;24178
00360;23575
00370;23334
00380;24049
00390;24086
00400;21471
00410;20863
00420;20687
00430;26859
00440;22067
00500;22007
00510;22916
00520;22305
00530;22939
00540;26249
00550;21339
00560;24927
00570;28005
00580;23957
00590;27865
00600;18699
00610;24268
00620;24966
00630;21578
00640;24082
00650;25005
00660;30035
00670;32095
00680;29228
00690;27220
00700;21449
00710;21377
00720;21751
00730;25683
00740;23060
00750;22679
00760;27107
00770;20194
00780;25574
00790;23201
00800;22255
00810;24307
00820;21175
00830;32597
00840;25360
00850;30567
00860;28340
00870;22176
00880;23239
00890;28908
00900;20273
00910;21403
00920;22284
00930;21315
00940;19611
00950;26512
00960;22356
00970;21382
00980;21143
00990;25165
01120;25573
01150;27286
01180;25919
01190;25588
01200;21162
01230;25768
01260;26412
01280;22890
01300;23668
01340;22504
01350;23402
01360;20212
01370;22316
01380;26947
01390;26738
01400;24035
01420;26795
01450;23640
01480;22882
01490;28685
01510;24875
01520;27693
01530;21428
01600;22075
01610;23863
01620;22544
01630;27762
01640;25673
01650;25287
01660;24143
01670;27586
01680;27299
01690;30719
01700;25749
01710;23369
01720;22546
01730;25888
01740;25381
01750;27550
01760;24841
01770;0
01800;25158
01810;26546
01820;28071
01830;26243
01840;28752
01860;25999
01900;24387
01940;25993
02100;27900
02110;27915
02120;26864
02130;30931
02140;30296
02150;11292
02160;37207
02170;30677
02180;34005
02200;28213
02210;25598
02230;24001
02240;33854
02250;24556
02260;27312
02270;30366
02280;26808
02290;0
02300;32640
02320;23799
02330;28508
02340;28991
02360;24942
02380;31243
02390;25857
02400;24312
02410;19815
02420;29209
02430;23622
02440;27712
02450;35422
02460;26670
02470;22350
02480;28494
02490;24890
02510;24763
02520;25531
02540;25898
02550;24717
02570;24391
02580;24447
02590;25141
02600;24134
02610;22838
02620;25242
02630;26389
02650;24826
02660;28008
02680;29231
02700;30730
02710;25748
02720;26287
02730;32440
02740;26621
02750;28300
02760;23402
02770;22137
02780;26391
02810;29510
02820;26873
02860;25119
02880;27977
02920;28034
02940;27122
02970;27202
02980;21010
03100;23835
03150;25988
03220;25001
03250;26156
03300;25702
03320;23758
03400;23865
03430;25100
03600;20760
03620;22155
03710;23479
03790;25032
03810;20432
03850;20756
03870;21171
04130;24492
04150;25997
04170;25649
04200;22689
04220;25152
04230;25712
04240;26315
04250;22531
04260;23522
04300;25307
04310;27836
04320;25317
04330;30130
04340;25956
04350;25077
04360;25531
04370;26882
04380;25572
04390;28235
04400;23405
04410;23033
04420;26497
04430;26500
04440;21504
04460;27198
04480;27666
04500;25399
04530;26432
04600;22040
04620;27515
04630;22925
04660;24745
04680;24082
04740;22427
04770;22179
04820;26412
04840;23220
04920;24294
04940;21487
05100;25798
05200;25244
05250;23395
05400;24923
05430;25518
05440;28292
05450;24562
05460;23523
05470;23757
05510;20954
05620;26229
05720;25754
05800;21102
05810;26115
05820;23799
05830;23699
05840;23600
05850;0
05860;22947
05880;19151
05900;21347
05950;23704
06100;23337
06150;21630
06200;24327
06400;23212
06450;24809
06500;24734
06530;25880
06650;25880
06750;26549
06830;26047
06850;0
06880;24675
06950;22623
07110;26030
07130;24102
07150;24346
07170;24841
07190;24573
07220;23525
07230;23290
07280;24105
07310;25600
07320;25309
07350;22468
07360;29008
07370;19219
07390;19358
07410;21898
07450;23143
07500;23744
07510;23625
07530;22440
07550;21658
07560;20935
07565;19490
07580;25016
07590;23707
07600;19724
07680;21311
07690;19016
07700;23874
07720;21476
07740;23276
07750;20781
07780;19384
07800;19756
07810;20799
07820;19038
07830;21396
07840;21719
07850;20213
07870;21977
07880;21162
07890;21307
07900;20362
07910;20807
07920;21914
07930;21380
07940;18303
07945;22075
07955;22018
07960;20973
07970;19795
07980;19751
07990;19044
08100;20995
08150;24397
