Zip_code;Zip_name;Municipality_name;Municipality_code;NUTS3_name;NUTS3_code
100;Helsinki Keskusta - Etu-Töölö;Helsinki;91;Uusimaa;1
120;Punavuori;Helsinki;91;Uusimaa;1
130;Kaartinkaupunki;Helsinki;91;Uusimaa;1
140;Kaivopuisto - Ullanlinna;Helsinki;91;Uusimaa;1
150;Eira - Hernesaari;Helsinki;91;Uusimaa;1
160;Katajanokka;Helsinki;91;Uusimaa;1
170;Kruununhaka;Helsinki;91;Uusimaa;1
180;Kamppi - Ruoholahti;Helsinki;91;Uusimaa;1
190;Suomenlinna;Helsinki;91;Uusimaa;1
200;Lauttasaari;Helsinki;91;Uusimaa;1
210;Vattuniemi;Helsinki;91;Uusimaa;1
220;Jätkäsaari;Helsinki;91;Uusimaa;1
230;Ilmala;Helsinki;91;Uusimaa;1
240;Länsi-Pasila;Helsinki;91;Uusimaa;1
250;Taka-Töölö;Helsinki;91;Uusimaa;1
260;Keski-Töölö;Helsinki;91;Uusimaa;1
270;Pohjois-Meilahti;Helsinki;91;Uusimaa;1
280;Ruskeasuo;Helsinki;91;Uusimaa;1
290;Meilahden sairaala-alue;Helsinki;91;Uusimaa;1
300;Pikku Huopalahti;Helsinki;91;Uusimaa;1
310;Kivihaka;Helsinki;91;Uusimaa;1
320;Etelä-Haaga;Helsinki;91;Uusimaa;1
330;Munkkiniemi;Helsinki;91;Uusimaa;1
340;Kuusisaari-Lehtisaari;Helsinki;91;Uusimaa;1
350;Munkkivuori-Niemenmäki;Helsinki;91;Uusimaa;1
360;Pajamäki;Helsinki;91;Uusimaa;1
370;Reimarla;Helsinki;91;Uusimaa;1
380;Pitäjänmäen teollisuusalue;Helsinki;91;Uusimaa;1
390;Konala;Helsinki;91;Uusimaa;1
400;Pohjois-Haaga;Helsinki;91;Uusimaa;1
410;Malminkartano;Helsinki;91;Uusimaa;1
420;Kannelmäki;Helsinki;91;Uusimaa;1
430;Maununneva;Helsinki;91;Uusimaa;1
440;Lassila;Helsinki;91;Uusimaa;1
500;Sörnäinen;Helsinki;91;Uusimaa;1
510;Etu-Vallila - Alppila;Helsinki;91;Uusimaa;1
520;Itä-Pasila;Helsinki;91;Uusimaa;1
530;Kallio;Helsinki;91;Uusimaa;1
540;Kalasatama;Helsinki;91;Uusimaa;1
550;Vallila;Helsinki;91;Uusimaa;1
560;Toukola-Vanhakaupunki;Helsinki;91;Uusimaa;1
570;Kulosaari;Helsinki;91;Uusimaa;1
580;Verkkosaari;Helsinki;91;Uusimaa;1
590;Kaitalahti;Helsinki;91;Uusimaa;1
600;Koskela-Helsinki;Helsinki;91;Uusimaa;1
610;Käpylä;Helsinki;91;Uusimaa;1
620;Metsälä-Etelä-Oulunkylä;Helsinki;91;Uusimaa;1
630;Maunula-Suursuo;Helsinki;91;Uusimaa;1
640;Oulunkylä-Patola;Helsinki;91;Uusimaa;1
650;Veräjämäki;Helsinki;91;Uusimaa;1
660;Länsi-Pakila;Helsinki;91;Uusimaa;1
670;Paloheinä;Helsinki;91;Uusimaa;1
680;Itä-Pakila;Helsinki;91;Uusimaa;1
690;Tuomarinkylä-Torpparinmäki;Helsinki;91;Uusimaa;1
700;Malmi;Helsinki;91;Uusimaa;1
710;Pihlajamäki;Helsinki;91;Uusimaa;1
720;Pukinmäki-Savela;Helsinki;91;Uusimaa;1
730;Tapanila;Helsinki;91;Uusimaa;1
740;Siltamäki;Helsinki;91;Uusimaa;1
750;Puistola;Helsinki;91;Uusimaa;1
760;Suurmetsä;Helsinki;91;Uusimaa;1
770;Jakomäki - Alppikylä;Helsinki;91;Uusimaa;1
780;Tapaninvainio;Helsinki;91;Uusimaa;1
790;Viikki;Helsinki;91;Uusimaa;1
800;Länsi-Herttoniemi;Helsinki;91;Uusimaa;1
810;Herttoniemi;Helsinki;91;Uusimaa;1
820;Roihuvuori;Helsinki;91;Uusimaa;1
830;Tammisalo;Helsinki;91;Uusimaa;1
840;Laajasalo;Helsinki;91;Uusimaa;1
850;Jollas;Helsinki;91;Uusimaa;1
860;Santahamina;Helsinki;91;Uusimaa;1
870;Etelä-Laajasalo;Helsinki;91;Uusimaa;1
880;Roihupellon teollisuusalue;Helsinki;91;Uusimaa;1
890;Östersundom;Helsinki;91;Uusimaa;1
900;Puotinharju;Helsinki;91;Uusimaa;1
910;Puotila;Helsinki;91;Uusimaa;1
920;Myllypuro;Helsinki;91;Uusimaa;1
930;Itäkeskus-Marjaniemi;Helsinki;91;Uusimaa;1
940;Kontula - Vesala;Helsinki;91;Uusimaa;1
950;Vartioharju;Helsinki;91;Uusimaa;1
960;Pohjois-Vuosaari;Helsinki;91;Uusimaa;1
970;Mellunmäki;Helsinki;91;Uusimaa;1
980;Etelä-Vuosaari;Helsinki;91;Uusimaa;1
990;Aurinkolahti;Helsinki;91;Uusimaa;1
1120;Västerskog;Sipoo;753;Uusimaa;1
1150;Söderkulla;Sipoo;753;Uusimaa;1
1180;Kalkkiranta;Porvoo;638;Uusimaa;1
1190;Box;Sipoo;753;Uusimaa;1
1200;Hakunila;Vantaa;92;Uusimaa;1
1230;Vaarala;Vantaa;92;Uusimaa;1
1260;Itä-Hakkila;Vantaa;92;Uusimaa;1
1280;Länsimäki;Vantaa;92;Uusimaa;1
1300;Tikkurila;Vantaa;92;Uusimaa;1
1340;Leinelä;Vantaa;92;Uusimaa;1
1350;Hiekkaharju;Vantaa;92;Uusimaa;1
1360;Koivukylä-Havukoski;Vantaa;92;Uusimaa;1
1370;Jokiniemi;Vantaa;92;Uusimaa;1
1380;Kuusikko-Hakkila;Vantaa;92;Uusimaa;1
1390;Ruskeasanta-Ilola;Vantaa;92;Uusimaa;1
1400;Rekola;Vantaa;92;Uusimaa;1
1420;Päiväkumpu;Vantaa;92;Uusimaa;1
1450;Korso;Vantaa;92;Uusimaa;1
1480;Mikkola;Vantaa;92;Uusimaa;1
1490;Nikinmäki;Vantaa;92;Uusimaa;1
1510;Kirkonkylä-Veromäki;Vantaa;92;Uusimaa;1
1520;Tammisto;Vantaa;92;Uusimaa;1
1530;Veromiehenkylä;Vantaa;92;Uusimaa;1
1600;Myyrmäki;Vantaa;92;Uusimaa;1
1610;Kaivoksela;Vantaa;92;Uusimaa;1
1620;Martinlaakso;Vantaa;92;Uusimaa;1
1630;Hämeenkylä;Vantaa;92;Uusimaa;1
1640;Hämevaara;Vantaa;92;Uusimaa;1
1650;Vapaala;Vantaa;92;Uusimaa;1
1660;Varisto;Vantaa;92;Uusimaa;1
1670;Vantaanlaakso;Vantaa;92;Uusimaa;1
1680;Askisto;Vantaa;92;Uusimaa;1
1690;Ylästö;Vantaa;92;Uusimaa;1
1700;Kivistö;Vantaa;92;Uusimaa;1
1710;Pähkinärinne;Vantaa;92;Uusimaa;1
1720;Petikko;Vantaa;92;Uusimaa;1
1730;Vantaanpuisto;Vantaa;92;Uusimaa;1
1740;Tuupakan teollisuusalue;Vantaa;92;Uusimaa;1
1750;Keimola;Vantaa;92;Uusimaa;1
1760;Seutula;Vantaa;92;Uusimaa;1
1770;Martinlaakson teollisuusalue;Vantaa;92;Uusimaa;1
1800;Klaukkala Keskus;Nurmijärvi;543;Uusimaa;1
1810;Luhtajoki;Nurmijärvi;543;Uusimaa;1
1820;Haikala;Nurmijärvi;543;Uusimaa;1
1830;Lepsämä;Nurmijärvi;543;Uusimaa;1
1840;Klaukkala;Nurmijärvi;543;Uusimaa;1
1860;Perttula;Nurmijärvi;543;Uusimaa;1
1900;Nurmijärvi Keskus;Nurmijärvi;543;Uusimaa;1
1940;Palojoki;Nurmijärvi;543;Uusimaa;1
2100;Tapiola;Espoo;49;Uusimaa;1
2110;Otsolahti;Espoo;49;Uusimaa;1
2120;Länsikorkee-Suvikumpu;Espoo;49;Uusimaa;1
2130;Pohjois-Tapiola;Espoo;49;Uusimaa;1
2140;Laajalahti;Espoo;49;Uusimaa;1
2150;Otaniemi;Espoo;49;Uusimaa;1
2160;Westend;Espoo;49;Uusimaa;1
2170;Haukilahti;Espoo;49;Uusimaa;1
2180;Mankkaa;Espoo;49;Uusimaa;1
2200;Niittykumpu;Espoo;49;Uusimaa;1
2210;Olari;Espoo;49;Uusimaa;1
2230;Matinkylä;Espoo;49;Uusimaa;1
2240;Friisilä;Espoo;49;Uusimaa;1
2250;Henttaa;Espoo;49;Uusimaa;1
2260;Kaitaa;Espoo;49;Uusimaa;1
2270;Finnoo-Eestinmalmi;Espoo;49;Uusimaa;1
2280;Malminmäki-Eestinlaakso;Espoo;49;Uusimaa;1
2290;Puolarmetsän sairaala;Espoo;49;Uusimaa;1
2300;Nöykkiönpuro;Espoo;49;Uusimaa;1
2320;Espoonlahti;Espoo;49;Uusimaa;1
2330;Saunalahti-Kattilalaakso;Espoo;49;Uusimaa;1
2340;Latokaski;Espoo;49;Uusimaa;1
2360;Soukka;Espoo;49;Uusimaa;1
2380;Suvisaaristo;Espoo;49;Uusimaa;1
2390;Sarvvik;Kirkkonummi;257;Uusimaa;1
2400;Kirkkonummi Keskus;Kirkkonummi;257;Uusimaa;1
2410;Gesterby;Kirkkonummi;257;Uusimaa;1
2420;Jorvas;Kirkkonummi;257;Uusimaa;1
2430;Masala;Kirkkonummi;257;Uusimaa;1
2440;Luoma;Kirkkonummi;257;Uusimaa;1
2450;Sundsberg;Kirkkonummi;257;Uusimaa;1
2460;Kantvik;Kirkkonummi;257;Uusimaa;1
2470;Upinniemi;Kirkkonummi;257;Uusimaa;1
2480;Porkkala;Kirkkonummi;257;Uusimaa;1
2490;Pikkala;Siuntio;755;Uusimaa;1
2510;Oitmäki;Kirkkonummi;257;Uusimaa;1
2520;Lapinkylä;Kirkkonummi;257;Uusimaa;1
2540;Kylmälä;Kirkkonummi;257;Uusimaa;1
2550;Evitskog;Kirkkonummi;257;Uusimaa;1
2570;Siuntio Kirkonkylä;Siuntio;755;Uusimaa;1
2580;Siuntio Asemanseutu;Siuntio;755;Uusimaa;1
2590;Lappers;Siuntio;755;Uusimaa;1
2600;Etelä-Leppävaara;Espoo;49;Uusimaa;1
2610;Kilo;Espoo;49;Uusimaa;1
2620;Karakallio;Espoo;49;Uusimaa;1
2630;Nihtisilta;Espoo;49;Uusimaa;1
2650;Pohjois-Leppävaara;Espoo;49;Uusimaa;1
2660;Lintuvaara;Espoo;49;Uusimaa;1
2680;Uusmäki;Espoo;49;Uusimaa;1
2700;Kauniainen;Kauniainen;235;Uusimaa;1
2710;Viherlaakso;Espoo;49;Uusimaa;1
2720;Lähderanta;Espoo;49;Uusimaa;1
2730;Jupperi;Espoo;49;Uusimaa;1
2740;Bemböle-Pakankylä;Espoo;49;Uusimaa;1
2750;Sepänkylä-Kuurinniitty;Espoo;49;Uusimaa;1
2760;Tuomarila-Suvela;Espoo;49;Uusimaa;1
2770;Espoon Keskus;Espoo;49;Uusimaa;1
2780;Kauklahti;Espoo;49;Uusimaa;1
2810;Gumböle-Karhusuo;Espoo;49;Uusimaa;1
2820;Nupuri-Nuuksio;Espoo;49;Uusimaa;1
2860;Siikajärvi;Espoo;49;Uusimaa;1
2880;Veikkola;Kirkkonummi;257;Uusimaa;1
2920;Niipperi;Espoo;49;Uusimaa;1
2940;Lippajärvi-Järvenperä;Espoo;49;Uusimaa;1
2970;Kalajärvi;Espoo;49;Uusimaa;1
2980;Lakisto;Espoo;49;Uusimaa;1
3100;Nummela;Vihti;927;Uusimaa;1
3150;Huhmari;Vihti;927;Uusimaa;1
3220;Tervalampi;Vihti;927;Uusimaa;1
3250;Ojakkala;Vihti;927;Uusimaa;1
3300;Otalampi;Vihti;927;Uusimaa;1
3320;Selki;Vihti;927;Uusimaa;1
3400;Vihti Kirkonkylä;Vihti;927;Uusimaa;1
3430;Jokikunta;Vihti;927;Uusimaa;1
3600;Karkkila Keskus;Karkkila;224;Uusimaa;1
3620;Polari;Karkkila;224;Uusimaa;1
3710;Uusitalo;Karkkila;224;Uusimaa;1
3790;Vihtijärvi;Vihti;927;Uusimaa;1
3810;Ikkala;Lohja;444;Uusimaa;1
3850;Pusula;Lohja;444;Uusimaa;1
3870;Hyönölä;Lohja;444;Uusimaa;1
4130;Sipoo;Sipoo;753;Uusimaa;1
4150;Martinkylä;Sipoo;753;Uusimaa;1
4170;Paippinen;Sipoo;753;Uusimaa;1
4200;Kerava Keskus;Kerava;245;Uusimaa;1
4220;Ahjo-Kaskela;Kerava;245;Uusimaa;1
4230;Pihkaniitty;Kerava;245;Uusimaa;1
4240;Talma;Sipoo;753;Uusimaa;1
4250;Alikerava;Kerava;245;Uusimaa;1
4260;Savio;Kerava;245;Uusimaa;1
4300;Hyrylä;Tuusula;858;Uusimaa;1
4310;Tuusula Keskus;Tuusula;858;Uusimaa;1
4320;Riihikallio;Tuusula;858;Uusimaa;1
4330;Lahela;Tuusula;858;Uusimaa;1
4340;Mattila;Tuusula;858;Uusimaa;1
4350;Nahkela;Tuusula;858;Uusimaa;1
4360;Ruotsinkylä-Kiilinmäki;Tuusula;858;Uusimaa;1
4370;Rusutjärvi;Tuusula;858;Uusimaa;1
4380;Tuomala;Tuusula;858;Uusimaa;1
4390;Jäniksenlinna;Tuusula;858;Uusimaa;1
4400;Loutti;Järvenpää;186;Uusimaa;1
4410;Järvenpää Keskus;Järvenpää;186;Uusimaa;1
4420;Kyrölä;Järvenpää;186;Uusimaa;1
4430;Kinnari-Mikonkorpi;Järvenpää;186;Uusimaa;1
4440;Jamppa;Järvenpää;186;Uusimaa;1
4460;Nummenkylä;Järvenpää;186;Uusimaa;1
4480;Haarajoki;Mäntsälä;505;Uusimaa;1
4500;Kellokoski;Tuusula;858;Uusimaa;1
4530;Ohkola;Mäntsälä;505;Uusimaa;1
4600;Mäntsälä Keskus;Mäntsälä;505;Uusimaa;1
4620;Kaunismäki;Mäntsälä;505;Uusimaa;1
4630;Sääksjärvi;Mäntsälä;505;Uusimaa;1
4660;Numminen;Mäntsälä;505;Uusimaa;1
4680;Hirvihaara;Mäntsälä;505;Uusimaa;1
4740;Sälinkää;Mäntsälä;505;Uusimaa;1
4770;Sahakylä;Mäntsälä;505;Uusimaa;1
4820;Kaukalampi;Mäntsälä;505;Uusimaa;1
4840;Hautjärvi;Mäntsälä;505;Uusimaa;1
4920;Saarentaus;Mäntsälä;505;Uusimaa;1
4940;Levanto;Mäntsälä;505;Uusimaa;1
5100;Röykkä;Nurmijärvi;543;Uusimaa;1
5200;Rajamäki;Nurmijärvi;543;Uusimaa;1
5250;Kiljava;Nurmijärvi;543;Uusimaa;1
5400;Jokela;Tuusula;858;Uusimaa;1
5430;Nuppulinna;Tuusula;858;Uusimaa;1
5440;Hyvinkää;Hyvinkää;106;Uusimaa;1
5450;Nukari;Nurmijärvi;543;Uusimaa;1
5460;Hakalanmäki-Hakala;Hyvinkää;106;Uusimaa;1
5470;Palopuro;Hyvinkää;106;Uusimaa;1
5510;Päivärinta;Hyvinkää;106;Uusimaa;1
5620;Noppo;Hyvinkää;106;Uusimaa;1
5720;Kytäjä;Hyvinkää;106;Uusimaa;1
5800;Hyvinkää Keskus;Hyvinkää;106;Uusimaa;1
5810;Martti;Hyvinkää;106;Uusimaa;1
5820;Mustamännistö;Hyvinkää;106;Uusimaa;1
5830;Kirjavatolppa-Kruununpuisto;Hyvinkää;106;Uusimaa;1
5840;Hyvinkäänkylä-Vehkoja;Hyvinkää;106;Uusimaa;1
5850;Hyvinkää, sairaala-alue;Hyvinkää;106;Uusimaa;1
5860;Talvisilta;Hyvinkää;106;Uusimaa;1
5880;Paavola-Vaivero;Hyvinkää;106;Uusimaa;1
5900;Vieremä;Hyvinkää;106;Uusimaa;1
5950;Ridasjärvi;Hyvinkää;106;Uusimaa;1
6100;Porvoo Keskus;Porvoo;638;Uusimaa;1
6150;Kevätkumpu;Porvoo;638;Uusimaa;1
6200;Porvoo itäinen;Porvoo;638;Uusimaa;1
6400;Gammelbacka;Porvoo;638;Uusimaa;1
6450;Eestinmäki-Ernestas;Porvoo;638;Uusimaa;1
6500;Saksala-Suomenkylä;Porvoo;638;Uusimaa;1
6530;Kerkkoo;Porvoo;638;Uusimaa;1
